name,date,tickets,gross,month,year
Andrea Bocelli,12/5/2019,13225,2667143,12,2019
Celine Dion,12/7/2019,10487,1816438,12,2019
Andrea Bocelli,12/7/2019,12241,2593407,12,2019
Andrea Bocelli,12/8/2019,10459,2135995,12,2019
Celine Dion,12/9/2019,26831,4852388,12,2019
Andrea Bocelli,12/11/2019,14137,2159747,12,2019
Andrea Bocelli,12/12/2019,12201,2265574,12,2019
Celine Dion,12/13/2019,24661,5180061,12,2019
Andrea Bocelli,12/15/2019,13288,2449082,12,2019
Andrea Bocelli,12/18/2019,28623,5385074,12,2019
Celine Dion,1/8/2020,11272,1912510,1,2020
Celine Dion,1/11/2020,11212,2323672,1,2020
Celine Dion,1/13/2020,13023,2103662,1,2020
Celine Dion,1/15/2020,12749,2254145,1,2020
Celine Dion,1/17/2020,24763,5222838,1,2020
Celine Dion,1/21/2020,13458,1785169,1,2020
Celine Dion,1/30/2020,13643,2021746,1,2020
Celine Dion,2/1/2020,11569,2127052,2,2020
Celine Dion,2/3/2020,12834,2657817,2,2020
Post Malone,2/4/2020,14501,1926887,2,2020
Celine Dion,2/5/2020,11004,1619919,2,2020
Post Malone,2/5/2020,13406,1881241,2,2020
Aventura,2/5/2020,52162,7131966,2,2020
Celine Dion,2/7/2020,12833,2278207,2,2020
Post Malone,2/7/2020,13387,1920408,2,2020
Eagles,2/7/2020,39375,8871615,2,2020
Celine Dion,2/9/2020,11452,1609727,2,2020
Post Malone,2/9/2020,14030,2093697,2,2020
Celine Dion,2/11/2020,12436,2150963,2,2020
Post Malone,2/12/2020,10924,1625735,2,2020
Andrea Bocelli,2/13/2020,9577,1766289,2,2020
Aventura,2/13/2020,12296,1920593,2,2020
Andrea Bocelli,2/14/2020,13931,2498351,2,2020
Aventura,2/14/2020,22734,3308230,2,2020
Eagles,2/14/2020,41058,10707033,2,2020
Andrea Bocelli,2/16/2020,9932,1626055,2,2020
Post Malone,2/18/2020,12821,1873212,2,2020
Celine Dion,2/18/2020,28257,3665416,2,2020
Post Malone,2/21/2020,14862,2225439,2,2020
Post Malone,2/22/2020,8767,1522300,2,2020
Celine Dion,2/22/2020,11252,2470305,2,2020
Celine Dion,2/24/2020,11181,1591232,2,2020
Post Malone,2/24/2020,14283,2173510,2,2020
Celine Dion,2/26/2020,13289,2011920,2,2020
Celine Dion,2/28/2020,25577,5115713,2,2020
Post Malone,2/29/2020,13231,1895616,2,2020
Eagles,2/29/2020,25650,7453138,2,2020
Post Malone,3/1/2020,14210,1656401,3,2020
Aventura,3/1/2020,22605,3022752,3,2020
Post Malone,3/3/2020,9482,1373714,3,2020
