Artist,,,Date,Sum of Capacity,Sum of Gross
",07/12/17,",,,,"40,573","$4,501,650.00 "
",02/06/16,",,,,"41,119","$4,341,114.00 "
",06/16/17,",,,,"45,860","$4,247,778.00 "
",05/10/17,",,,,"40,850","$4,220,420.00 "
",06/04/17,",,,,"38,778","$4,192,393.00 "
",07/05/17,",,,,"39,961","$4,012,365.00 "
",08/14/17,",,,,"31,075","$3,405,806.00 "
",07/19/17,",,,,"29,218","$3,171,717.00 "
",07/07/17,",,,,"32,168","$3,163,523.00 "
"Paul McCartney,,",,,,"662,019","$92,995,048.00 "
",08/07/16,",,,,"52,465","$7,808,072.00 "
",10/28/17,",,,,"48,026","$6,748,828.00 "
",09/15/17,",,,,"30,213","$6,448,272.00 "
",07/17/16,",,,,"36,142","$4,991,074.00 "
",09/11/17,",,,,"26,874","$4,810,271.00 "
",10/04/16,",,,,"28,360","$4,731,761.00 "
",08/13/16,",,,,"43,428","$4,657,982.00 "
",10/01/17,",,,,"30,166","$4,525,832.00 "
",09/19/17,",,,,"30,002","$4,392,370.00 "
",07/12/16,",,,,"38,431","$4,365,986.00 "
",08/17/16,",,,,"31,869","$4,362,514.00 "
",09/26/17,",,,,"24,723","$4,233,509.00 "
",08/09/16,",,,,"27,288","$4,188,877.00 "
",04/19/16,",,,,"29,569","$4,153,715.00 "
",09/23/17,",,,,"36,200","$3,820,130.00 "
",05/04/16,",,,,"28,048","$3,671,696.00 "
",07/25/17,",,,,"44,222","$3,615,233.00 "
",07/19/16,",,,,"29,665","$3,519,465.00 "
",10/22/15,",,,,"15,552","$2,755,354.00 "
",06/21/15,",,,,"15,669","$2,695,337.00 "
",10/13/15,",,,,"15,107","$2,498,770.00 "
"Garth Brooks,,",,,,"1,254,649","$81,458,615.00 "
",12/09/17,",,,,"124,062","$7,424,081.00 "
",01/09/15,",,,,"121,832","$7,395,670.00 "
",05/07/15,",,,,"101,863","$6,729,532.00 "
",02/05/15,",,,,"102,723","$6,078,240.00 "
",04/08/16,",,,,"74,386","$5,740,061.00 "
",04/12/15,",,,,"80,325","$5,513,508.00 "
",12/03/15,",,,,"76,716","$5,375,977.00 "
",01/21/17,",,,,"79,995","$5,171,061.00 "
",10/09/15,",,,,"68,745","$5,153,749.00 "
",01/22/15,",,,,"88,317","$4,945,320.00 "
",10/20/17,",,,,"69,736","$4,480,871.00 "
",07/14/17,",,,,"63,102","$4,147,694.00 "
",06/26/15,",,,,"59,784","$3,959,494.00 "
",09/23/16,",,,,"51,743","$3,401,067.00 "
",01/14/16,",,,,"48,139","$3,104,003.00 "
",03/10/17,",,,,"43,181","$2,838,287.00 "
"Adele,,",,,,"636,711","$71,903,115.00 "
